Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,GHI,Solar Zenith Angle,Temperature,Pressure,Relative Humidity,Precipitable Water,Wind Direction,Wind Speed
2006,1,1,0,0,0,0,0,0,-4.15,0,0,0,169.4913054,17.85,900,15,0.748031512,220,4
2006,1,1,0,30,0,0,0,0,-5.15,0,0,0,175.7207975,17.85,900,14,0.708661433,221,4
2006,1,1,1,0,0,0,0,0,-5.15,0,0,0,175.5929157,17.85,900,13,0.669291355,223,5
2006,1,1,1,30,0,0,0,0,-5.15,0,0,0,169.3339048,17.85,900,13,0.669291355,224,5
2006,1,1,2,0,0,0,0,0,-6.15,0,0,0,162.6487258,16.85,900,12,0.629921276,225,5
2006,1,1,2,30,0,0,0,0,-6.15,0,0,0,155.9009277,16.85,897,11,0.551181119,225,5
2006,1,1,3,0,0,0,0,0,-6.15,0,0,0,149.1456359,16.85,900,11,0.551181119,228,5
2006,1,1,3,30,0,0,0,0,-7.15,0,0,0,142.4030421,16.85,900,10,0.51181104,230,5
2006,1,1,4,0,0,0,0,0,-7.15,0,0,0,135.6855473,16.85,900,10,0.472440962,230,5
2006,1,1,4,30,0,0,0,0,-7.15,0,0,0,129.0036577,16.85,900,10,0.433070883,231,5
2006,1,1,5,0,0,0,0,0,-8.15,0,0,0,122.3679917,15.85,900,9,0.393700805,232,5
2006,1,1,5,30,0,0,0,0,-8.15,0,0,0,115.7903076,15.85,897,8,0.354330726,231,5
2006,1,1,6,0,0,0,0,0,-8.15,0,0,0,109.2842886,16.85,900,8,0.354330726,234,5
2006,1,1,6,30,0,0,0,0,-7.15,0,0,0,102.8663417,16.85,900,8,0.354330726,235,5
2006,1,1,7,0,0,0,0,1,-7.15,0,0,0,96.55654222,17.85,900,8,0.393700805,238,5
2006,1,1,7,30,0,0,0,-15,-6.15,0,0,0,90.37729539,18.85,900,8,0.393700805,240,5
2006,1,1,8,0,40,252,65,-15,-5.15,40,252,65,84.36682867,19.85,900,8,0.433070883,242,5
2006,1,1,8,30,67,516,170,0,-4.15,67,516,170,78.5589203,20.85,897,8,0.433070883,244,5
2006,1,1,9,0,86,664,280,1,-4.15,94,544,253,73.00539388,21.85,900,8,0.433070883,247,4
2006,1,1,9,30,100,757,387,1,-3.15,123,558,334,67.77063589,21.85,900,8,0.472440962,249,4
2006,1,1,10,0,111,818,483,1,-3.15,134,647,428,62.93576641,22.85,900,7,0.472440962,252,4
2006,1,1,10,30,119,862,568,0,-2.15,119,862,568,58.60118696,23.85,900,7,0.51181104,257,4
2006,1,1,11,0,126,891,638,0,-1.15,126,891,638,54.88671106,23.85,900,7,0.51181104,262,4
2006,1,1,11,30,130,911,692,0,-0.15,130,911,692,51.92654203,24.85,900,7,0.551181119,271,4
2006,1,1,12,0,133,924,729,0,-0.15,133,924,729,49.85595991,25.85,900,7,0.551181119,279,4
2006,1,1,12,30,135,930,748,0,-0.15,135,930,748,48.78885902,25.85,900,8,0.551181119,285,4
2006,1,1,13,0,135,930,748,0,-0.15,135,930,748,48.791379,24.85,900,8,0.590551198,194,4
2006,1,1,13,30,134,923,729,0,-0.15,134,923,729,49.86336944,24.85,900,8,0.590551198,198,4
2006,1,1,14,0,132,911,693,0,-0.15,132,911,693,51.93843601,24.85,900,9,0.590551198,203,4
2006,1,1,14,30,127,892,640,0,-0.15,127,892,640,54.90253889,24.85,900,9,0.629921276,206,4
2006,1,1,15,0,121,862,570,0,-0.15,121,862,570,58.62036671,24.85,900,9,0.629921276,208,3
2006,1,1,15,30,112,821,485,0,-0.15,112,821,485,62.95776394,24.85,900,9,0.629921276,210,3
2006,1,1,16,0,101,759,388,0,-0.15,101,759,388,67.79500199,24.85,900,10,0.669291355,211,3
2006,1,1,16,30,86,669,281,0,-0.15,86,669,281,73.03177134,24.85,900,10,0.669291355,213,3
2006,1,1,17,0,66,527,170,-15,-0.15,66,527,170,78.58703502,24.85,900,10,0.669291355,211,3
2006,1,1,17,30,46,189,65,-15,-0.15,65,0,65,84.39647421,24.85,900,10,0.708661433,207,3
2006,1,1,18,0,0,0,0,0,-0.15,0,0,0,90.40830128,24.85,900,10,0.708661433,207,3
2006,1,1,18,30,0,0,0,0,-0.15,0,0,0,96.58884392,23.85,900,10,0.708661433,210,3
2006,1,1,19,0,0,0,0,0,-1.15,0,0,0,102.8998331,23.85,900,10,0.669291355,207,3
2006,1,1,19,30,0,0,0,0,-1.15,0,0,0,109.3189064,23.85,900,10,0.669291355,291,3
2006,1,1,20,0,0,0,0,0,-1.15,0,0,0,115.8259971,22.85,900,11,0.669291355,272,3
2006,1,1,20,30,0,0,0,1,-1.15,0,0,0,122.4046954,22.85,900,11,0.669291355,264,3
2006,1,1,21,0,0,0,0,0,-2.15,0,0,0,129.041301,22.85,902,11,0.629921276,259,3
2006,1,1,21,30,0,0,0,0,-2.15,0,0,0,135.7240153,21.85,902,11,0.629921276,255,3
2006,1,1,22,0,0,0,0,0,-2.15,0,0,0,142.4421383,21.85,902,11,0.629921276,252,3
2006,1,1,22,30,0,0,0,0,-3.15,0,0,0,149.1849965,20.85,902,11,0.629921276,249,4
2006,1,1,23,0,0,0,0,0,-3.15,0,0,0,155.9398146,20.85,902,11,0.590551198,247,4
2006,1,1,23,30,0,0,0,0,-4.15,0,0,0,162.685405,19.85,900,11,0.590551198,242,4
2006,1,2,0,0,0,0,0,0,-4.15,0,0,0,169.3630074,19.85,903,11,0.590551198,242,4
2006,1,2,0,30,0,0,0,0,-3.15,0,0,0,175.5831607,19.85,903,12,0.590551198,244,4
2006,1,2,1,0,0,0,0,0,-4.15,0,0,0,175.6224341,19.85,903,12,0.590551198,244,4
2006,1,2,1,30,0,0,0,0,-4.15,0,0,0,169.4115855,19.85,903,12,0.590551198,245,4
2006,1,2,2,0,0,0,0,0,-4.15,0,0,0,162.7346087,19.85,903,12,0.590551198,245,4
2006,1,2,2,30,0,0,0,0,-4.15,0,0,0,155.9886147,18.85,900,12,0.590551198,245,4
2006,1,2,3,0,0,0,0,0,-4.15,0,0,0,149.2329511,18.85,903,12,0.590551198,247,4
2006,1,2,3,30,0,0,0,0,-4.15,0,0,0,142.4889092,18.85,903,13,0.590551198,247,4
2006,1,2,4,0,0,0,0,0,-4.15,0,0,0,135.7692797,18.85,903,13,0.590551198,248,4
2006,1,2,4,30,0,0,0,0,-4.15,0,0,0,129.0847233,18.85,903,13,0.590551198,248,4
2006,1,2,5,0,0,0,0,0,-4.15,0,0,0,122.4459122,18.85,903,13,0.590551198,249,4
2006,1,2,5,30,0,0,0,0,-5.15,0,0,0,115.8646058,17.85,900,13,0.590551198,248,4
