Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,GHI,Solar Zenith Angle,Temperature,Pressure,Relative Humidity,Precipitable Water,Wind Direction,Wind Speed
2010,1,1,0,0,0,0,0,7,0.85,0,0,0,169.4894793,10.85,914,51,1.377952769,170,4
2010,1,1,0,30,0,0,0,7,-0.15,0,0,0,175.7181709,9.85,914,51,1.338582691,170,4
2010,1,1,1,0,0,0,0,7,-0.15,0,0,0,175.5919332,9.85,914,52,1.338582691,170,4
2010,1,1,1,30,0,0,0,7,-0.15,0,0,0,169.3340475,8.85,914,52,1.299212612,170,4
2010,1,1,2,0,0,0,0,7,-1.15,0,0,0,162.6490876,8.85,914,52,1.259842534,169,4
2010,1,1,2,30,0,0,0,7,-1.15,0,0,0,155.9013378,7.85,911,53,1.259842534,152,4
2010,1,1,3,0,0,0,0,7,-1.15,0,0,0,149.1460336,7.85,914,53,1.220472455,169,3
2010,1,1,3,30,0,0,0,7,-1.15,0,0,0,142.4033976,7.85,914,54,1.220472455,169,3
2010,1,1,4,0,0,0,0,7,-1.15,0,0,0,135.6858418,6.85,914,54,1.181102376,169,3
2010,1,1,4,30,0,0,0,7,-2.15,0,0,0,129.0038775,6.85,914,54,1.181102376,169,3
2010,1,1,5,0,0,0,0,7,-2.15,0,0,0,122.368125,6.85,914,55,1.141732298,171,3
2010,1,1,5,30,0,0,0,7,-2.15,0,0,0,115.7903432,6.85,911,55,1.102362219,180,2
2010,1,1,6,0,0,0,0,7,-2.15,0,0,0,109.2842151,6.85,916,55,1.102362219,204,3
2010,1,1,6,30,0,0,0,7,-2.15,0,0,0,102.8661467,6.85,916,54,1.102362219,187,3
2010,1,1,7,0,0,0,0,7,-2.15,0,0,0,96.55621205,6.85,916,53,1.141732298,183,3
2010,1,1,7,30,0,0,0,-15,-3.15,0,0,0,90.37680289,6.85,914,52,1.141732298,183,3
2010,1,1,8,0,38,273,65,-15,-2.15,38,159,53,84.36617663,6.85,914,51,1.141732298,184,3
2010,1,1,8,30,61,537,167,7,-3.15,74,325,138,78.55808193,6.85,911,50,1.141732298,86,2
2010,1,1,9,0,77,680,276,7,-2.15,122,259,197,73.00434627,7.85,914,49,1.141732298,34,3
2010,1,1,9,30,89,768,379,7,-2.15,169,231,256,67.76935512,7.85,914,47,1.141732298,37,3
2010,1,1,10,0,98,827,474,7,-2.15,111,725,441,62.93422849,8.85,914,46,1.141732298,38,3
2010,1,1,10,30,104,868,556,1,-2.15,227,370,420,58.59937051,8.85,914,45,1.181102376,41,3
2010,1,1,11,0,110,895,625,7,-2.15,171,665,553,54.884602,9.85,914,44,1.181102376,44,3
2010,1,1,11,30,114,914,678,0,-2.15,114,914,678,51.9241401,9.85,914,43,1.181102376,45,3
2010,1,1,12,0,116,926,714,7,-2.15,233,563,596,49.85328546,9.85,914,43,1.181102376,50,3
2010,1,1,12,30,118,931,732,0,-2.15,118,931,732,48.78595682,9.85,914,44,1.220472455,55,3
