Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Version
NSRDB,594052,-,-,-,25.69,-100.3,-6,514,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,v1.0.2
Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,GHI,Solar Zenith Angle,Temperature,Pressure,Relative Humidity,Precipitable Water,Wind Direction,Wind Speed
2007,1,1,0,0,0,0,0,0,5.850000000000023,0,0,0,169.52270919243531,10.850000000000023,911,71,1.9291338697075844,163,2
2007,1,1,0,30,0,0,0,0,4.850000000000023,0,0,0,175.75393777384397,9.850000000000023,911,71,1.8897637911140919,159,2
2007,1,1,1,0,0,0,0,1,4.850000000000023,0,0,0,175.58380714873485,9.850000000000023,911,71,1.8897637911140919,153,2
2007,1,1,1,30,0,0,0,3,4.850000000000023,0,0,0,169.31383655544926,9.850000000000023,911,71,1.8503937125205994,147,2
2007,1,1,2,0,0,0,0,4,4.850000000000023,0,0,0,162.6268236129415,9.850000000000023,911,71,1.8503937125205994,142,2
2007,1,1,2,30,0,0,0,1,3.8500000000000227,0,0,0,155.87863583906773,8.850000000000023,906,71,1.8110236339271069,137,2
2007,1,1,3,0,0,0,0,4,4.850000000000023,0,0,0,149.12344625629368,9.850000000000023,911,71,1.8110236339271069,135,2
2007,1,1,3,30,0,0,0,4,3.8500000000000227,0,0,0,142.3811994875989,8.850000000000023,911,71,1.7716535553336143,132,2
2007,1,1,4,0,0,0,0,4,3.8500000000000227,0,0,0,135.66420911004766,8.850000000000023,911,71,1.7716535553336143,129,2
2007,1,1,4,30,0,0,0,1,3.8500000000000227,0,0,0,128.98294748504958,8.850000000000023,911,71,1.7322834767401218,126,2
2007,1,1,5,0,0,0,0,1,3.8500000000000227,0,0,0,122.34802149628072,8.850000000000023,911,71,1.7322834767401218,123,3
2007,1,1,5,30,0,0,0,1,3.8500000000000227,0,0,0,115.77119013769065,7.850000000000023,906,72,1.6929133981466293,122,3
2007,1,1,6,0,0,0,0,1,3.8500000000000227,0,0,0,109.26614526942154,8.850000000000023,911,70,1.6929133981466293,116,3
2007,1,1,6,30,0,0,0,3,2.8500000000000227,0,0,0,102.84930899307338,8.850000000000023,911,68,1.6929133981466293,111,3
2007,1,1,7,0,0,0,0,0,2.8500000000000227,0,0,0,96.54077797831297,8.850000000000023,911,67,1.6929133981466293,106,3
2007,1,1,7,30,0,0,0,-15,2.8500000000000227,0,0,0,90.36300267240593,8.850000000000023,911,65,1.6535433195531368,102,3
2007,1,1,8,0,36,316,67,-15,2.8500000000000227,36,316,67,84.35419700614379,9.850000000000023,911,64,1.6535433195531368,98,3
2007,1,1,8,30,54,586,171,0,2.8500000000000227,54,586,171,78.54822639044282,9.850000000000023,906,63,1.6535433195531368,96,3
2007,1,1,9,0,67,724,278,0,2.8500000000000227,67,724,278,72.99695328575788,9.850000000000023,911,61,1.6535433195531368,91,3
2007,1,1,9,30,76,807,382,2,2.8500000000000227,116,555,326,67.76481883801445,10.850000000000023,911,59,1.6535433195531368,88,3
2007,1,1,10,0,84,862,476,1,2.8500000000000227,196,323,343,62.932997378067725,10.850000000000023,911,58,1.6141732409596443,85,3
2007,1,1,10,30,88,900,557,0,2.8500000000000227,88,900,557,58.60193025926746,10.850000000000023,911,56,1.6141732409596443,82,3
2007,1,1,11,0,92,926,625,0,1.8500000000000227,92,926,625,54.89143318418767,10.850000000000023,911,55,1.6141732409596443,81,4
2007,1,1,11,30,96,944,678,0,1.8500000000000227,96,944,678,51.93564194139008,11.850000000000023,911,53,1.6141732409596443,78,4
2007,1,1,12,0,98,955,714,0,1.8500000000000227,98,955,714,49.869669945787976,11.850000000000023,911,53,1.5748031623661518,78,4
2007,1,1,12,30,99,961,732,0,1.8500000000000227,99,961,732,48.80714442790103,11.850000000000023,911,53,1.5748031623661518,81,4
2007,1,1,13,0,99,961,732,0,1.8500000000000227,99,961,732,48.81388845626782,10.850000000000023,909,53,1.5748031623661518,82,4
2007,1,1,13,30,98,957,714,0,1.8500000000000227,98,957,714,49.88947900640336,10.850000000000023,909,54,1.5748031623661518,85,4
2007,1,1,14,0,95,947,679,1,1.8500000000000227,304,185,418,51.96737424825064,10.850000000000023,909,54,1.5748031623661518,86,4
2007,1,1,14,30,92,931,627,0,1.8500000000000227,92,931,627,54.93353022607708,10.850000000000023,909,55,1.5748031623661518,88,4
2007,1,1,15,0,87,909,560,0,1.8500000000000227,87,909,560,58.65273331295768,10.850000000000023,909,55,1.5354330837726593,91,4
2007,1,1,15,30,81,876,479,0,0.8500000000000227,81,876,479,62.990968156582625,9.850000000000023,909,55,1.5354330837726593,92,4
2007,1,1,16,0,73,827,385,0,1.8500000000000227,73,827,385,67.8286446817469,9.850000000000023,909,55,1.5354330837726593,94,5
2007,1,1,16,30,62,759,283,0,1.8500000000000227,62,759,283,73.0655691075633,9.850000000000023,909,56,1.5354330837726593,95,5
2007,1,1,17,0,44,659,174,-15,0.8500000000000227,44,659,174,78.62079267705323,9.850000000000023,909,56,1.5354330837726593,96,5
2007,1,1,17,30,33,360,68,-15,0.8500000000000227,68,0,68,84.43005959386241,9.850000000000023,909,57,1.4960630051791668,98,5
2007,1,1,18,0,0,0,0,0,1.8500000000000227,0,0,0,90.44161124105248,9.850000000000023,908,57,1.4960630051791668,101,5
2007,1,1,18,30,0,0,0,-15,0.8500000000000227,0,0,0,96.62186314858275,9.850000000000023,698,58,1.4960630051791668,101,5
2007,1,1,19,0,0,0,0,0,0.8500000000000227,0,0,0,102.93250869767603,8.850000000000023,908,58,1.4960630051791668,106,5
2007,1,1,19,30,0,0,0,0,0.8500000000000227,0,0,0,109.35122157086037,8.850000000000023,908,58,1.4960630051791668,109,5
2007,1,1,20,0,0,0,0,0,0.8500000000000227,0,0,0,115.85794685274597,8.850000000000023,908,59,1.4960630051791668,113,5
2007,1,1,20,30,0,0,0,0,0.8500000000000227,0,0,0,122.43628505419217,8.850000000000023,908,60,1.4960630051791668,116,5
2007,1,1,21,0,0,0,0,0,0.8500000000000227,0,0,0,129.07254588528295,8.850000000000023,908,60,1.4960630051791668,119,5
2007,1,1,21,30,0,0,0,0,0.8500000000000227,0,0,0,135.75494359294564,7.850000000000023,908,61,1.4960630051791668,122,5
2007,1,1,22,0,0,0,0,0,0.8500000000000227,0,0,0,142.47279763582407,7.850000000000023,908,61,1.4960630051791668,125,5
2007,1,1,22,30,0,0,0,3,0.8500000000000227,0,0,0,149.21546825285927,7.850000000000023,908,62,1.4960630051791668,128,5
2007,1,1,23,0,0,0,0,3,0.8500000000000227,0,0,0,155.9702483673605,7.850000000000023,908,62,1.4960630051791668,130,5
2007,1,1,23,30,0,0,0,0,0.8500000000000227,0,0,0,162.71611040077676,7.850000000000023,905,64,1.4960630051791668,132,6
2007,1,2,0,0,0,0,0,0,0.8500000000000227,0,0,0,169.3947482571427,6.850000000000023,908,64,1.4566929265856743,133,6
2007,1,2,0,30,0,0,0,0,0.8500000000000227,0,0,0,175.61726171605213,6.850000000000023,908,65,1.4960630051791668,133,5
2007,1,2,1,0,0,0,0,0,0.8500000000000227,0,0,0,175.6156799873312,6.850000000000023,908,65,1.4960630051791668,132,5
2007,1,2,1,30,0,0,0,0,0.8500000000000227,0,0,0,169.39260141228294,6.850000000000023,908,66,1.4960630051791668,132,5
2007,1,2,2,0,0,0,0,0,0.8500000000000227,0,0,0,162.71353289276308,6.850000000000023,908,67,1.4960630051791668,132,5
2007,1,2,2,30,0,0,0,0,1.8500000000000227,0,0,0,155.96707036422762,6.850000000000023,905,69,1.4960630051791668,130,4
2007,1,2,3,0,0,0,0,0,1.8500000000000227,0,0,0,149.2114888519967,6.850000000000023,908,69,1.4960630051791668,129,4
2007,1,2,3,30,0,0,0,0,1.8500000000000227,0,0,0,142.46780054105642,6.850000000000023,908,70,1.4960630051791668,128,4
2007,1,2,4,0,0,0,0,0,1.8500000000000227,0,0,0,135.7486970582063,6.850000000000023,908,71,1.4960630051791668,126,4
2007,1,2,4,30,0,0,0,0,1.8500000000000227,0,0,0,129.0647998659317,6.850000000000023,908,71,1.4960630051791668,125,3
2007,1,2,5,0,0,0,0,0,1.8500000000000227,0,0,0,122.42676727104671,6.850000000000023,908,73,1.5354330837726593,123,3
2007,1,2,5,30,0,0,0,0,1.8500000000000227,0,0,0,115.84635807092347,5.850000000000023,905,74,1.5354330837726593,122,3
2007,1,2,6,0,0,0,0,0,1.8500000000000227,0,0,0,109.33723014628312,5.850000000000023,908,74,1.5354330837726593,118,3
2007,1,2,6,30,0,0,0,0,1.8500000000000227,0,0,0,102.91574444597143,6.850000000000023,908,73,1.5748031623661518,113,3
2007,1,2,7,0,0,0,0,0,1.8500000000000227,0,0,0,96.60191073009946,6.850000000000023,908,73,1.6141732409596443,109,3
2007,1,2,7,30,0,0,0,-15,1.8500000000000227,0,0,0,90.41802237616625,6.850000000000023,908,72,1.6535433195531368,106,3
2007,1,2,8,0,36,307,66,-15,2.8500000000000227,15,0,15,84.40227510372046,6.850000000000023,909,72,1.6929133981466293,103,3
2007,1,2,8,30,54,576,168,3,2.8500000000000227,39,0,39,78.58824336277755,7.850000000000023,905,71,1.7322834767401218,102,3
2007,1,2,9,0,66,714,275,3,2.8500000000000227,45,0,45,73.02761871133853,7.850000000000023,909,71,1.7716535553336143,98,3
2007,1,2,9,30,76,798,377,-15,3.8500000000000227,62,0,62,67.78462182503974,8.850000000000023,905,71,1.7716535553336143,96,4
2007,1,2,10,0,83,851,470,-15,3.8500000000000227,80,0,80,62.940212372185684,8.850000000000023,905,70,1.8110236339271069,94,4
2007,1,2,10,30,88,889,551,3,3.8500000000000227,94,0,94,58.59468006789076,8.850000000000023,909,70,1.8503937125205994,89,4
2007,1,2,11,0,92,916,619,-15,3.8500000000000227,104,2,106,54.86784779171884,9.850000000000023,698,70,1.8897637911140919,89,4
2007,1,2,11,30,95,933,671,-15,4.850000000000023,112,4,114,51.89414779099417,9.850000000000023,698,70,1.9291338697075844,89,4
2007,1,2,12,0,98,943,707,-15,4.850000000000023,121,0,121,49.809396216366736,9.850000000000023,909,70,1.968503948301077,84,4
2007,1,2,12,30,98,949,725,-15,4.850000000000023,124,0,124,48.728328670737994,9.850000000000023,909,71,1.968503948301077,84,4
2007,1,2,13,0,98,949,725,-15,4.850000000000023,124,0,124,48.71806584729419,9.850000000000023,908,73,1.968503948301077,84,4
2007,1,2,13,30,97,944,707,-15,5.850000000000023,121,0,121,49.779285370696144,9.850000000000023,908,74,1.968503948301077,82,4
2007,1,2,14,0,95,934,672,-15,4.850000000000023,115,0,115,51.84602040277625,8.850000000000023,908,76,1.968503948301077,82,4
2007,1,2,14,30,92,918,621,-15,4.850000000000023,106,0,106,54.80421129259176,8.850000000000023,908,78,1.968503948301077,81,4
2007,1,2,15,0,87,894,554,-15,5.850000000000023,95,0,95,58.51821678989063,8.850000000000023,908,80,2.0078740268945694,81,4
2007,1,2,15,30,81,861,474,-15,4.850000000000023,81,0,81,62.85342952280019,7.850000000000023,908,81,2.0078740268945694,81,4
2007,1,2,16,0,73,813,381,-15,5.850000000000023,65,0,65,67.6896832743843,7.850000000000023,908,83,2.0078740268945694,79,4
2007,1,2,16,30,61,744,280,-15,5.850000000000023,48,0,48,72.92630775828428,7.850000000000023,908,84,2.0078740268945694,79,4
2007,1,2,17,0,45,642,173,-15,4.850000000000023,30,0,30,78.4819945353888,6.850000000000023,908,86,2.0078740268945694,78,4
2007,1,2,17,30,34,345,69,-15,5.850000000000023,12,0,12,84.29223415437757,6.850000000000023,908,88,2.0078740268945694,78,4
2007,1,2,18,0,0,0,0,1,4.850000000000023,0,0,0,90.3051642538361,6.850000000000023,908,89,2.0078740268945694,78,4
2007,1,2,18,30,0,0,0,1,5.850000000000023,0,0,0,96.48679171632972,6.850000000000023,908,89,2.047244105488062,81,4
2007,1,2,19,0,0,0,0,1,5.850000000000023,0,0,0,102.79902922256883,6.850000000000023,908,89,2.047244105488062,82,4
2007,1,2,19,30,0,0,0,1,5.850000000000023,0,0,0,109.21938239607661,6.850000000000023,908,88,2.047244105488062,85,4
2007,1,2,20,0,0,0,0,1,5.850000000000023,0,0,0,115.72774953894965,6.850000000000023,908,88,2.047244105488062,88,4
2007,1,2,20,30,0,0,0,7,5.850000000000023,0,0,0,122.30769097213837,6.850000000000023,908,88,2.0866141840815544,89,4
2007,1,2,21,0,0,0,0,7,5.850000000000023,0,0,0,128.94547471168232,6.850000000000023,908,88,2.0866141840815544,92,4
2007,1,2,21,30,0,0,0,7,5.850000000000023,0,0,0,135.62926149945895,6.850000000000023,908,88,2.0866141840815544,95,4
2007,1,2,22,0,0,0,0,7,5.850000000000023,0,0,0,142.34828833850563,6.850000000000023,908,88,2.0866141840815544,98,4
2007,1,2,22,30,0,0,0,7,5.850000000000023,0,0,0,149.09176884657597,7.850000000000023,908,88,2.0866141840815544,99,3
2007,1,2,23,0,0,0,0,7,5.850000000000023,0,0,0,155.8466989801729,7.850000000000023,908,88,2.125984262675047,102,3
2007,1,2,23,30,0,0,0,7,5.850000000000023,0,0,0,162.59135072987232,7.850000000000023,905,88,2.125984262675047,106,4
2007,1,3,0,0,0,0,0,4,5.850000000000023,0,0,0,169.26540704454035,7.850000000000023,908,88,2.125984262675047,106,3
2007,1,3,0,30,0,0,0,7,5.850000000000023,0,0,0,175.476679337995,7.850000000000023,908,88,2.125984262675047,106,3
2007,1,3,1,0,0,0,0,7,5.850000000000023,0,0,0,175.6376488797152,7.850000000000023,908,88,2.1653543412685394,108,3
2007,1,3,1,30,0,0,0,7,5.850000000000023,0,0,0,169.46676704689054,7.850000000000023,908,88,2.1653543412685394,108,3
2007,1,3,2,0,0,0,0,4,5.850000000000023,0,0,0,162.79674165318016,7.850000000000023,908,89,2.1653543412685394,108,3
2007,1,3,2,30,0,0,0,7,5.850000000000023,0,0,0,156.05234554280815,7.850000000000023,905,89,2.1653543412685394,111,3
2007,1,3,3,0,0,0,0,1,5.850000000000023,0,0,0,149.29646454229123,7.850000000000023,908,89,2.1653543412685394,111,3
2007,1,3,3,30,0,0,0,0,5.850000000000023,0,0,0,142.55131400955239,7.850000000000023,908,89,2.1653543412685394,111,3
2007,1,3,4,0,0,0,0,0,5.850000000000023,0,0,0,135.83001369261777,7.850000000000023,908,89,2.204724419862032,112,3
2007,1,3,4,30,0,0,0,4,5.850000000000023,0,0,0,129.14335624943442,7.850000000000023,908,89,2.204724419862032,113,3
2007,1,3,5,0,0,0,0,3,5.850000000000023,0,0,0,122.50206213367511,7.850000000000023,908,89,2.204724419862032,115,3
2007,1,3,5,30,0,0,0,1,5.850000000000023,0,0,0,115.91789530101138,7.850000000000023,903,90,2.204724419862032,118,3
2007,1,3,6,0,0,0,0,1,6.850000000000023,0,0,0,109.40448217498643,7.850000000000023,908,89,2.2440944984555244,115,3
2007,1,3,6,30,0,0,0,4,6.850000000000023,0,0,0,102.97812345809639,8.850000000000023,908,87,2.2440944984555244,113,3
2007,1,3,7,0,0,0,0,4,6.850000000000023,0,0,0,96.65874196301766,8.850000000000023,908,86,2.283464577049017,112,3
2007,1,3,7,30,0,0,0,-15,6.850000000000023,0,0,0,90.4684762269017,9.850000000000023,908,84,2.3228346556425095,111,3
2007,1,3,8,0,36,307,65,-15,7.850000000000023,1,0,1,84.44549533331026,9.850000000000023,906,83,2.362204734236002,109,3
2007,1,3,8,30,54,579,169,7,7.850000000000023,3,0,3,78.6230897942818,10.850000000000023,903,81,2.362204734236002,111,3
2007,1,3,9,0,67,719,276,7,7.850000000000023,124,133,163,73.05277950735015,10.850000000000023,906,81,2.4015748128294945,108,4
2007,1,3,9,30,76,803,380,7,7.850000000000023,114,0,114,67.7985680171721,11.850000000000023,906,79,2.440944891422987,106,4
2007,1,3,10,0,83,859,474,7,7.850000000000023,105,0,105,62.94120789667996,11.850000000000023,906,78,2.4803149700164795,105,4
2007,1,3,10,30,89,897,557,8,8.850000000000023,20,0,20,58.580851215635235,12.850000000000023,906,76,2.4803149700164795,105,4
2007,1,3,11,0,92,924,625,3,8.850000000000023,68,0,68,54.83735096290841,12.850000000000023,906,75,2.519685048609972,103,4
2007,1,3,11,30,96,943,678,7,8.850000000000023,146,1,147,51.845469221288454,13.850000000000023,906,73,2.5590551272034645,103,4
2007,1,3,12,0,98,954,714,3,8.850000000000023,151,2,152,49.741766681589205,13.850000000000023,906,73,2.5590551272034645,101,4
2007,1,3,12,30,99,960,733,3,8.850000000000023,21,0,21,48.64212915282475,13.850000000000023,906,74,2.5590551272034645,96,4
2007,1,3,13,0,99,961,735,3,8.850000000000023,105,0,105,48.61500228485524,12.850000000000023,906,75,2.519685048609972,92,4
2007,1,3,13,30,98,957,718,4,8.850000000000023,71,0,71,49.66216360638814,12.850000000000023,906,77,2.519685048609972,86,3
2007,1,3,14,0,96,948,684,7,8.850000000000023,197,8,201,51.71819029091168,12.850000000000023,906,78,2.519685048609972,81,3
2007,1,3,14,30,93,933,632,7,8.850000000000023,97,0,97,54.66895773167626,11.850000000000023,906,79,2.4803149700164795,75,3
2007,1,3,15,0,88,910,566,7,7.850000000000023,98,0,98,58.37834665860954,11.850000000000023,905,80,2.4803149700164795,129,3
2007,1,3,15,30,82,878,485,3,8.850000000000023,211,114,263,62.71111798335971,11.850000000000023,905,81,2.440944891422987,123,3
2007,1,3,16,0,73,833,391,8,7.850000000000023,136,0,136,67.54650380314445,10.850000000000023,905,83,2.440944891422987,116,3
2007,1,3,16,30,62,766,289,8,7.850000000000023,46,0,46,72.78334391147325,10.850000000000023,905,84,2.440944891422987,186,3
2007,1,3,17,0,45,667,180,-15,7.850000000000023,29,0,29,78.33996511552527,10.850000000000023,905,85,2.4015748128294945,177,3
2007,1,3,17,30,36,378,74,-15,7.850000000000023,12,0,12,84.15160403783456,9.850000000000023,905,86,2.4015748128294945,159,3
