Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Version
NSRDB,594052,-,-,-,25.69,-100.3,-6,514,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,v1.0.2
Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,GHI,Solar Zenith Angle,Temperature,Pressure,Relative Humidity,Precipitable Water,Wind Direction,Wind Speed
2012,1,1,0,0,0,0,0,4,-0.14999999999997726,0,0,0,169.5522211863701,19.850000000000023,906,22,1.1417322978377342,220,1
2012,1,1,0,30,0,0,0,7,-0.14999999999997726,0,0,0,175.78426358955937,18.850000000000023,908,22,1.1417322978377342,238,1
2012,1,1,1,0,0,0,0,4,-0.14999999999997726,0,0,0,175.57328810040678,18.850000000000023,908,22,1.1023622192442417,259,1
2012,1,1,1,30,0,0,0,4,-0.14999999999997726,0,0,0,169.2937243963728,18.850000000000023,908,22,1.1023622192442417,274,1
2012,1,1,2,0,0,0,0,4,-1.1499999999999773,0,0,0,162.60514221882164,18.850000000000023,908,22,1.1023622192442417,285,1
2012,1,1,2,30,0,0,0,0,-1.1499999999999773,0,0,0,155.85662655950046,17.850000000000023,900,23,1.0629921406507492,293,1
2012,1,1,3,0,0,0,0,0,-1.1499999999999773,0,0,0,149.10152985133084,17.850000000000023,908,22,1.0629921406507492,306,1
2012,1,1,3,30,0,0,0,3,-1.1499999999999773,0,0,0,142.35958595627113,17.850000000000023,909,22,1.0629921406507492,315,1
2012,1,1,4,0,0,0,0,0,-2.1499999999999773,0,0,0,135.64303474791842,17.850000000000023,909,22,1.0236220620572567,322,2
2012,1,1,4,30,0,0,0,0,-2.1499999999999773,0,0,0,128.9623202213051,17.850000000000023,909,22,1.0236220620572567,326,2
2012,1,1,5,0,0,0,0,0,-2.1499999999999773,0,0,0,122.32804030846178,16.850000000000023,909,22,1.0236220620572567,330,2
2012,1,1,5,30,0,0,0,4,-2.1499999999999773,0,0,0,115.75195546440023,16.850000000000023,902,23,0.9842519834637642,334,2
2012,1,1,6,0,0,0,0,7,-2.1499999999999773,0,0,0,109.24776601479849,16.850000000000023,909,23,1.0236220620572567,337,2
2012,1,1,6,30,0,0,0,7,-1.1499999999999773,0,0,0,102.83190836212043,16.850000000000023,911,25,1.1023622192442417,224,2
2012,1,1,7,0,0,0,0,0,-1.1499999999999773,0,0,0,96.52449920198242,16.850000000000023,911,27,1.1417322978377342,228,3
2012,1,1,7,30,0,0,0,-15,-0.14999999999997726,0,0,0,90.34799836535072,15.850000000000023,911,29,1.2204724550247192,232,3
2012,1,1,8,0,39,252,64,-15,-0.14999999999997726,38,103,48,84.34069694066139,15.850000000000023,913,31,1.2598425336182117,235,3
2012,1,1,8,30,66,513,168,8,-0.14999999999997726,81,224,125,78.53646603540153,15.850000000000023,905,33,1.2992126122117043,215,3
2012,1,1,9,0,84,660,278,8,0.8500000000000227,128,168,177,72.98722251952992,15.850000000000023,913,35,1.3779527693986893,241,3
2012,1,1,9,30,98,752,383,7,0.8500000000000227,173,127,221,67.75746262163932,15.850000000000023,914,37,1.4566929265856743,242,4
2012,1,1,10,0,109,813,479,7,1.8500000000000227,214,117,267,62.92841545461029,15.850000000000023,914,39,1.4960630051791668,244,4
